Hate_Speech,Counter_Narrative,Counter_Type,Target_Group
"دختری که #حق_طلاق میخواد،قطعا بلوغ لازم برا ازدواج رو نداره.
ب_کی_و_کی_قسم",نه! اون دختر فقط حقوق برابر میخواهد که اتفاقا نشان دهنده بلوغ فکری و آمادگی اون برای ازدواج می باشد.,Denouncing,گروه جنسیتی
خوب شکر خدا که ماله کشی بر سر زیبا سازی ازدواج دست برداشتین. حالا بیایید در گوشتون بگم که مبحث ازدواج در کتب فقهی زیر عنوان بیع میاد. فهمیدین چی شد؟ یه پولی می گیری بکارتت رو می فروشی‌. اگه باکره نباشی هم یارو حق فسخ و کسر از مهریه داره. مرجع هم خواستین لمعه دمشقیه.,ازدواج در اصل باید بر پایه عشق و علاقه زن و مرد باشد نه بر پایه منافع جنسی و مالی. بکارت زنان هم یک موضوع شخصی می باشد که نباید سر آن معامله ای صورت بگیرد.,"Fact-based, Positive Response",گروه جنسیتی
"با مانتو میبینید میگید واوووو مگه داریم این همه زیبایی اندام
لخت ک میشه ۴تیکه پوست شل و اویزون ک به زور عمل زیبایی یکم اتو خوردن میبینید به اضافه خط داغون بخیه
من به شخصه دختر چاق سفت ترجیح میدم تا این مدلی",بیایید آدم ها را از روی اندام و ظاهر قضاوت نکنیم. هر بدنی زیبایی های خودش را دارد . قضاوت کردن یا نقد کردن اندام بقیه باعث کاهش اعتماد به نفس می شود.,"Positive Response, Warning of consequences",گروه جنسیتی
"نشستم فریادها و نجواها رو دیدم
چیزی که دریافتم:

زن ها سه گونه اند، عقده ای جنسی، بچه صفت کودن، مادری که خلا داره

یا اینکه

آدم ها کلا عقده ای هستند، مجبورند برای عقده شون ابژه پیدا کنند",نسبت دادن این صفت ها و ویژگی ها به همه زنان اشتباه محض هست. زنان انسان هایی قدرتمند، عاظفی، با اراده و... هستن. برای مثال مریم میرزاخانی، اسطوره ریاضی دنیا.,"Contradiction, Fact-based",گروه جنسیتی
"ما خواهان برابري بين زن مرد هستيم ما حق طلاق ميخواهيم مهريه هم ميخواهيم دوست داريم رانندگي كنيم ولي يك مرد برامون پنچري بگيره دوست داريم پمپ بنزيني وظيفش باشه برامون سوخت گيري كنه
زن كالا نيست.فقط كونش گشاده،فقط ادعاش كون خر پاره ميكنه",همه زنان این دیدگاه‌هایی که شما نوشته‌اید را ندارند. بیایید نگذاریم سوءتفاهم‌ها باعث ایجاد دید منفی نسبت به زنان شود. در هر جامعه‌ای، حقوق زنان و مردان باید یکسان باشد و در کنار آن، احترام نیز وجود داشته باشد.,"Denouncing, Positive Response",گروه جنسیتی
"چقدر از این ژست من بهت لطف کردم مرد ایرانی بدم میاد که فکر میکنه حق طلاق رو اگه داد یعنی از سر لطفش بوده
بشین بابا کیری تو فقط چون تو ایرانی همچین قدرتی داری که با برگردوندن حق و حقوق یه زن بهش لذت ببری",قطعا که همه مرد های ایرانی دادن حق طلاق را یک لطف نمی دانند. من کلی افراد آگاه و تحصیل کرده میشناسم که به برابری حقوق زن و مرد اعتقاد دارند. پس بیایید کلی گویی نکنیم و به دور از نفرت پراکنی و با گفت و گوی سالم دنبال تغییر قوانین کشور باشیم.,"Contradiction, Positive Response",گروه جنسیتی
بعضی اینا هم که هی کسشر زن مستقل تفت میدن خیلی زشتن. یکم از پولای مستقلانه تو بزن به تیپ و قیافه و عمل زیبایی تا انقد زجه بی‌کیری نزنی وسط تایملاین ما.,ویژگی های ظاهری افراد چه سود و ضرری به ما دارد؟ چرا به دنبال تحمیل علایق خود به دیگران هستید؟ آنها مختار هستند پول خود را به نحوی که دوست دارند خرج کنند.,"Counter questions, Positive Response",گروه جنسیتی
زنان اساساً کودک‌صفت هستند و بیشتر عمرشان این‌گونه باقی می‌مانند. نرم و عاطفی. این موضوع تمدن‌های بزرگ مردسالار ما را نابود کرده است.,آیا همین حرف را به زنانی که به تو زندگی بخشیدند، در بیمارستان از تو مراقبت کردند یا در مدرسه به تو آموزش دادند، می‌گفتی؟,Denouncing,گروه جنسیتی
تو دیگر کی هستی؟ ما از این فمینیست‌های مردستیز که سعی دارند مردان سفیدپوست قدرتمند را تضعیف کنند، خسته شده‌ایم. در حالی که خودشان فقط حسود، بی‌کفایت و بی‌فایده هستند.,تضعیف یا بیان نظر؟ بله، زنان هم ذهن دارند و به همان خوبی ذهن مردان کار می‌کند.,Positive response,گروه جنسیتی
در غرب، زنان از برابری قانونی، حقوق برابر برخوردارند و از تبعیض محافظت می‌شوند: باید دست از سر ما بردارند و غر زدن را متوقف کنند.,فقط به این دلیل که زنان در غرب طبق قانون برابری دارند، به این معنا نیست که در عمل هم برابرند. موافق نیستی؟,"Contradiction, Counter questions",گروه جنسیتی
به همین دلیل زنان جایی در سیاست ندارند. اگر مردی مثل آن‌ها شکایت می‌کرد، ترسو خطابش می‌کردند و می‌گفتند از کار بیرون برو. برابری یک دروغ است و فمینیسم حکم مرگ هر تمدنی است.,برابری جنسیتی کلید یک خانواده و اقتصاد مولد است. محدود کردن زنان از ورود به همه حوزه‌های جامعه، پتانسیل هر کشوری را کاهش می‌دهد.,"Denouncing, Fact-based",گروه جنسیتی
از اینکه زنان در بحث‌های سیاسی شرکت می‌کنند خسته شده‌ام. فمینیسم یک نیروی تفرقه‌افکن در جامعه است.,فمینیسم فقط در شکل افراطی‌اش تفرقه‌افکن است، وقتی سعی می‌کند مردسالاری را با زن‌سالاری جایگزین کند و از برابری فراتر رود.,Fact-based,گروه جنسیتی
وقتی زنان شروع به درخواست حقوق می‌کنند، مثل نازی‌ها می‌شوند. آن‌ها به مردستیزان و انسان‌ستیزانی مثل [دونا هیلتون](https://en.wikipedia.org/wiki/Donna_Hylton) احترام می‌گذارند که با وجود محکومیت به قتل و شکنجه، برای سخنرانی در راهپیمایی بین‌المللی زنان دعوت شد. این‌ها فقط اقدامات چند نفر نبودند، بلکه سازمان‌ها و پلتفرم‌های بزرگ فمینیستی بودند.,ایده‌ها یا اقدامات بد افراد در یک گروه، نماینده کل گروه نیستند، مگر اینکه گروه آن ایده‌ها یا اقدامات را تأیید کند.,Denouncing,گروه جنسیتی
از اینکه زنان در بحث‌های سیاسی شرکت می‌کنند خسته شده‌ام. فمینیسم یک نیروی تفرقه‌افکن در جامعه است.,فمینیسم دیدگاه جدیدی به مسائل اجتماعی و سیاسی سنتی اضافه می‌کند.,positive response,گروه جنسیتی
زنان اساساً کودک‌صفت هستند و بیشتر عمرشان این‌گونه باقی می‌مانند. نرم و عاطفی. این موضوع تمدن‌های بزرگ مردسالار ما را نابود کرده است.,مردسالاری یک بلاست: از جوانی به مردان گفته می‌شود که باید سخت و قوی باشند، همه بارها را تحمل کنند و بی‌احساس باشند. این باعث افزایش خودکشی در میان مردان شده است. من این را نشانه یک «تمدن بزرگ» نمی‌بینم.,"Denouncing, Warning of Consequences",گروه جنسیتی
از اینکه زنان در بحث‌های سیاسی شرکت می‌کنند خسته شده‌ام. فمینیسم یک نیروی تفرقه‌افکن در جامعه است.,فقط یک استدلال جنسیتی می‌تواند از بحث زنان برای کسب حقوق بیشتر، نفرت ایجاد کند.,Denouncing,گروه جنسیتی
فمینیست‌ها پیروز شده‌اند. با این همه زن که تمایلی به بچه‌دار شدن ندارند، ما جایگزین خواهیم شد و تمدن‌مان را از دست می‌دهیم.,دقیقاً جایگزین چه چیزی؟ فکر می‌کنم جمعیت ما مشکلی نخواهد داشت.,"Denouncing, Counter questions",گروه جنسیتی
برابری مزخرف است، حتی برای زنان. هرچه زنان قدرت بیشتری داشته باشند، بیشتر از وظایف خانگی دور می‌شوند و ناراضی‌تر می‌شوند.,اگر زنان از تعادل بین خانواده و شغل استرس دارند، به این دلیل است که مردان هنوز در [مسئولیت‌های خانه](https://www.huffingtonpost.ca/2017/09/27/women-chores-home_a_23224733/) به طور برابر سهیم نیستند. این انتخاب‌ها نیستند که به زنان استرس می‌دهند، بلکه مردسالاری و نقش‌های جنسیتی قدیمی هستند.,Fact-based,گروه جنسیتی
تو دیگر کی هستی؟ ما از این فمینیست‌های مردستیز که سعی دارند مردان سفیدپوست قدرتمند را تضعیف کنند، خسته شده‌ایم. در حالی که خودشان فقط حسود، بی‌کفایت و بی‌فایده هستند.,چه چیزی باعث می‌شود فکر کنی زنان به مردان حسادت می‌کنند؟ به عنوان یک مرد سفیدپوست چه ویژگی‌هایی را ارزشمند می‌دانی؟,Counter questions,گروه جنسیتی
در غرب، زنان از برابری قانونی، حقوق برابر برخوردارند و از تبعیض محافظت می‌شوند: باید دست از سر ما بردارند و غر زدن را متوقف کنند.,مطمئنی؟ حتی در غرب، زنانی هستند که هنوز به بسیاری از حقوق خود، به‌ویژه در زمینه مراقبت‌های بهداشتی، دسترسی برابر ندارند. [https://www.motherjones.com/politics/2018/05/this-map-depicts-abortion-access-across-america-and-its-really-bleak/],Fact-based,گروه جنسیتی
اگر فمینیسم واقعاً درباره برابری بود، جنبش خود را «برابری‌گرایی» یا چیزی شبیه به آن می‌نامیدند.,برابری‌گرایی به معنای جنبش برای برابری به طور کلی است. فمینیسم روی جنسیت تمرکز دارد. حقوق حیوانات، حقوق همجنس‌گرایان، ضد نژادپرستی، جنسیت‌گرایی و غیره مسائل جداگانه‌ای در جنبش برابری هستند.,positive response,گروه جنسیتی
فمینیست‌ها پیروز شده‌اند. با این همه زن که تمایلی به بچه‌دار شدن ندارند، ما جایگزین خواهیم شد و تمدن‌مان را از دست می‌دهیم.,اصطلاح «فمینیسم» برای حقوق برابر همه جنسیت‌ها مبارزه می‌کند. شاید متوجه شوی که تو هم یک فمینیست هستی. شاید برخی از سایت‌های زیر را امتحان کنی تا بیشتر بدانی که جنبش فمینیستی چگونه می‌تواند به تو سود برساند: feminist.com، درباره کمپین «مرد باش» در Mind.org.uk بیشتر بخوان.,"Fact-based, Positive Response",گروه جنسیتی
زنان اساساً کودک‌صفت هستند و بیشتر عمرشان این‌گونه باقی می‌مانند. این موضوع تمدن‌های بزرگ مردسالار ما را نابود کرده است.,متأسفانه جامعه ما هنوز شباهت‌های زیادی با جوامع باستانی و قرون وسطایی دارد و این بسیاری از موارد تبعیض جنسیتی را که هنوز وجود دارند توضیح می‌دهد.,Denouncing,گروه جنسیتی
این جهان آن‌قدر با فمینیسم فاسد شده که فقط مردان قوی می‌توانند بر آن حکومت کنند.,جامعه قطعاً فراتر از این قانون که «قدرت یعنی حق» و «بقای قوی‌ترین» است، توسعه یافته است.,Denouncing,گروه جنسیتی
فمینیسم یک نیروی تفرقه‌افکن در جامعه است که مردم را از یک ایدئولوژی مترقی دور می‌کند.,این فقط یک دروغ است: فمینیسم می‌تواند مردم را توانمند کند.,"Denouncing, Positive Response",گروه جنسیتی
زنان اساساً کودک‌صفت هستند و بیشتر عمرشان این‌گونه باقی می‌مانند. نرم و عاطفی. این موضوع تمدن‌های بزرگ مردسالار ما را نابود کرده است.,اگر تا به حال درباره زنان این‌گونه فکر کرده‌ای، شاید به نظر می‌رسد که از تعصبات و ترس‌های زیادی رنج می‌بری.,Counter questions,گروه جنسیتی
ما دیگر تحت سلطه مردان نیستیم، حالا تحت سلطه زنان هستیم و این نابودی ما خواهد بود.,هیچ‌کس نگفت باید تحت سلطه کسی باشیم. چرا نمی‌توانیم با هماهنگی و برابری کنار هم زندگی کنیم؟,"Denouncing, Counter questions",گروه جنسیتی
زنان نمی‌توانند منطقی یا اخلاقی باشند، آن‌ها فقط احساسات هستند.,به نظر می‌رسد فکر می‌کنی زنان به خاطر حرف‌هایی که می‌زنند مثل بچه‌ها رفتار می‌کنند. یادت باشد: هرکسی ممکن است بیش از حد احساساتی شود.,Positive response,گروه جنسیتی
زنان قادر به مدیریت مسئولیت‌های عمومی نیستند. آن‌ها باید در خانه بمانند و بچه‌ها را بزرگ کنند.,زنان بیش از حد قادر به تصدی موقعیت‌های قدرتمند در جامعه ما بوده‌اند و اغلب با مناصب عمومی پاداش می‌گیرند که کمتر کسی جرأت آرزوی آن را دارد.,Positive response,گروه جنسیتی
زنان اساساً کودک‌صفت هستند و بیشتر عمرشان این‌گونه باقی می‌مانند. آن‌ها یک شکست اخلاقی برای جامعه ما هستند.,آه، پس فکر می‌کنی زنان اساساً قادر به تشکیل نظرات آگاهانه یا اخلاقی پیچیده نیستند. این درست نیست، مشکل در جامعه ماست، نه در DNA زنان. زنان اغلب قربانی این تعصب جنسیتی سمی و توهین‌آمیز هستند و ما همچنان آن را به عنوان «طبیعت امور» می‌پذیریم.,"Denouncing, Fact-based",گروه جنسیتی
زنان برای انجام هر کاری به تأیید مردان نیاز دارند.,زنان همیشه درست نیستند (فقط گاهی فکر می‌کنند باید باشند). حتی اگر اشتباه کنند، همیشه می‌توانند خودشان را بهتر ثابت کنند. اما مطمئناً به مردی نیاز ندارند که به آن‌ها بگوید چگونه زندگی کنند.,Positive response,گروه جنسیتی
اگر زنی نخواهد مطیع مردان باشد، پس او یک زن بداخلاق است.,مردانی که متعصب هستند، زنی می‌خواهند که مطیع هر خواسته آن‌ها باشد. اما بسیاری از مردان به دنبال یک شریک زندگی هستند.,Positive response,گروه جنسیتی
زنان به طور طبیعی از مردان احساساتی‌تر هستند و این آن‌ها را ضعیف‌تر می‌کند.,نمی‌دانیم چه ویژگی‌هایی یک نفر را «احساساتی‌تر» می‌کند. چگونه می‌توانیم مطمئن باشیم که زنان به طور طبیعی یا ژنتیکی «احساساتی‌تر» هستند؟ فکر نمی‌کنم بدون شواهد علمی، پیوند دادن این دو مفهوم مناسب باشد.,"Denouncing, Counter questions",گروه جنسیتی
درخواست برابری فقط توسط زنان ناامنی مثل تو ترویج می‌شود.,تبعیض علیه زنان مشکل بزرگی در جامعه ماست. باید مستقیماً با آن مقابله کنیم، نه اینکه گروه‌ها یا افراد را شیطان جلوه دهیم.,Denouncing,گروه جنسیتی
برای مثال، ارتش آمریکا برای مردان واقعی است.,فکر نکنید خدمت نظامی فقط برای مردان است. حدود ۱۵٪ از اعضای ارتش آمریکا زنان هستند.,Fact-based,گروه جنسیتی
زنان باید دامن‌های زیبا بپوشند و جذاب باشند تا سلیقه و خواسته‌های مردان را برآورده کنند.,آیا واقعاً باید به زنان گفته شود که چه بپوشند یا چه نپوشند؟ برای نسل‌ها به پسران گفته شد شلوار بپوشند و به دختران لباس. آیا جامعه واقعاً باید به همه ما بگوید چه بپوشیم؟,Counter questions,گروه جنسیتی
می‌گویند نمی‌توان کتاب را از روی جلدش قضاوت کرد. اما فمینیست‌ها همیشه ما را قضاوت می‌کنند.,برخلاف دیگران، فمینیست‌ها نابرابری‌های جامعه را زیر سؤال می‌برند. این آن‌ها را از افرادی که کتاب را از روی جلدش قضاوت می‌کنند، سطحی نمی‌کند.,Denouncing,گروه جنسیتی
زنان نباید مثل مردان در نظر گرفته شوند.,بریتانیا یک کشور توسعه‌یافته است. در اینجا زنان حق دارند برابری قانونی را مطالبه کنند.,Positive response,گروه جنسیتی
فمینیسم فقط دیکتاتوری زنان است.,فمینیسم یک ایدئولوژی سیاسی است که با دفاع از حقوق برابر همه اعضای جامعه، به دنبال برابری و عدالت اجتماعی برای بهبود وضعیت زنان است. بد نیست، نه؟,"Positive response, Counter questions",گروه جنسیتی
اگر زنی نخواهد خانه‌دار باشد، پس غیرزنانه و بداخلاق است.,چنین زنانی غیرزنانه یا بداخلاق نیستند. آن‌ها فقط ممکن است بخواهند کار دیگری غیر از کارهای خانه و مراقبت از بچه‌ها انجام دهند.,Denouncing,گروه جنسیتی
زنان غیرانسانی هستند و نباید ارزشمند تلقی شوند.,ما در جهانی پیچیده و متنوع زندگی می‌کنیم: عجیب است که مردان هنوز درباره زنان این‌گونه فکر می‌کنند و آن‌ها را به اندازه خودشان انسان نمی‌دانند و ارزشمند نمی‌شمارند.,Denouncing,گروه جنسیتی
باید برتری مردان را در جامعه برقرار کنیم.,حرف‌هایت نشان می‌دهد که مردان از زنان برترند: اما برابری جنسیتی یک افسانه نیست. نتیجه مستقیم اراده آزاد و تکامل جامعه ما به سمت فراگیری بیشتر است.,"Denouncing, Positive Response",گروه جنسیتی
به زنان نباید اجازه رأی دادن داد.,رأی‌گیری بخش مهمی از دموکراسی است و باید تشویق شود، نه ممنوع، به‌ویژه اگر وضعیت همه را بهبود دهد.,Positive Response,گروه جنسیتی
زنان چیزی بیش از اشیایی برای سلطه مردان نیستند.,زنان انسان هستند و شایسته احترام‌اند.,Positive Response,گروه جنسیتی
اگر زنی نخواهد مادر شود، پس بداخلاق است.,این کمتر به مادر شدن مربوط است و بیشتر به نگرش منفی کسی که توهین می‌کند ربط دارد.,Denouncing,گروه جنسیتی
فمینیسم یک فلسفه و جنبش سیاسی است که از حقوق زنان به عنوان سلاحی علیه جنسیت مرد استفاده می‌کند.,این فقط یک ادعای زن‌ستیزانه و بدخواهانه است که هیچ پایه‌ای در واقعیت ندارد.,Denouncing,گروه جنسیتی
زنان اساساً کودک‌صفت هستند و نمی‌توانند همزمان شغل داشته باشند و خانواده را اداره کنند.,زنان پتانسیل انجام کارهای بزرگ را دارند و این به ما بستگی دارد که به آن‌ها فرصت دهیم.,Positive response,گروه جنسیتی
زنان در جایگاه قدرت نمی‌توانند رهبری کنند و نباید در قدرت باشند.,فکر می‌کنم باید شروع کنیم به این که زنان و مردان باید برابر دیده شوند. آن‌ها باید حقوق برابر داشته باشند.,Positive response,گروه جنسیتی
جای زن کنار همسر یا خانواده‌اش است و فمینیست‌ها نمی‌توانند این را تغییر دهند.,مهم است که بگوییم فمینیست‌ها به خانواده حمله نمی‌کنند، آن‌ها با نابرابری‌های جامعه مبارزه می‌کنند. پس فمینیسم بیشتر ضد ستم است تا ضد ازدواج.,Positive response,گروه جنسیتی
همه فمینیست‌ها تقلبی هستند.,فمینیسم جنبشی است برای بهبود استاندارد زندگی زنان. فمینیست‌ها انسان‌اند و تقلبی وجود ندارد (جز کسانی که زنان را به خاطر مطالبه حقوق‌شان شیطان جلوه می‌دهند).,Positive response,گروه جنسیتی
آزار دادن زن اشکالی ندارد.,نمی‌توانی آزار هیچ انسانی را توجیه کنی.,Denouncing,گروه جنسیتی
کار زنان مراقبت از فرزندان‌شان است.,زنان این کار را بهتر از مردان انجام نمی‌دهند، پس چرا باید فقط وظیفه آن‌ها باشد؟,Counter questions,گروه جنسیتی
زنان هرگز نمی‌توانند به ثروت کشور کمک کنند چون فقط یک مشت فاحشه‌اند.,زنان در جامعه ما مهم‌اند و به خاطر مشارکت‌شان ارزشمندند.  حقوق‌شان رعایت نمی‌شود و مشارکت‌شان به رسمیت شناخته نمی‌شود.,Positive response,گروه جنسیتی
زنان چیزی جز هرزه نیستند، اگر بخواهند می‌توانند فاحشه شوند.,آن‌ها انسان‌هایی با احساسات‌اند و بدون توجه به جنسیت، شایسته احترام‌اند.,Positive response,گروه جنسیتی
چرا زنان این‌گونه‌اند؟ آن‌ها حیوانات وحشتناکی‌اند و باید سرکوب شوند.,اگرچه تفاوت‌هایی بین مردان و زنان وجود دارد، اما این به این معنا نیست که زنان کمتر از مردان‌اند یا سزاوار رفتار پست‌ترند.,"Positive response, Denouncing",گروه جنسیتی
زنان ضعیف‌اند و در سیاست هیچ ارزشی ندارند.,داری می‌گویی زنان کمتر برای رهبری سیاسی شایسته‌اند؟ جدی؟,Counter questions,گروه جنسیتی
فمینیست‌ها علیه منافع مردان‌اند.,شگفت‌زده می‌شوی اگر بدانی چه تعداد فمینیست در متقاعد کردن مردم به اینکه تغییر دنیای زن‌ستیز و خشن علیه منافع مردان نیست، مهارت دارند.,Denouncing,گروه جنسیتی
فمینیست‌ها می‌گویند که ستمدیده‌اند.,فمینیست‌ها نمی‌گویند زنان ستمدیده‌اند. آن‌ها ادعا می‌کنند که زنان همیشه مورد تبعیض بوده‌اند و هنوز هم هستند. تبعیض دیدن با ستم دیدن یکی نیست.,Denouncing,گروه جنسیتی
فمینیست‌ها موجودات جنسی غیرانسانی و خشن‌اند.,فمینیست اصطلاحی است برای توصیف افرادی که به جنسیت خود افتخار می‌کنند و خواهان زندگی پایدار و شاد بدون تبعیض‌اند.,Positive response,گروه جنسیتی
تجاوز بخشی ذاتی از جهان است، اما زنان آن را نمی‌پذیرند. به همین دلیل قوانینی علیه تجاوز داریم: تا جلوی غر زدن آن‌ها را بگیریم. حقیقت را می‌گویم: بهتر است پولت را نشان دهی تا ثابت کنی شایسته احترامی.,تجاوز همیشه جرم است. همچنین، برخی زنان، مثل کسانی از گروه‌های اقتصادی-اجتماعی پایین، بیشتر در معرض تجاوزند. احترام به افراد را نمی‌توان با پول سنجید.,"Contradiction, Denouncing",گروه جنسیتی
همه در برابر قانون برابرند، اما زنان خودشان را از «همه» جدا می‌کنند. آن‌ها نمی‌فهمند که برابرند، چون نمی‌خواهند برابر دیده شوند.,اصل «برابری در برابر قانون» به این معنا نیست که همه حقوق برابر دارند. بنابراین، مطالبه برابری وقتی نابرابری وجود دارد، کاملاً منطقی است.,"Denouncing, Positive Response",گروه جنسیتی
فمینیسم یک ایدئولوژی احمقانه درباره ستم به مردان است.,فمینیسم درباره برابری و توانمندسازی فرد است تا زنان همان حقوقی را داشته باشند که مردان دارند.,Positive response,گروه جنسیتی
